Key,en,es,ar,fr
appLLimit,Limit,Límite,حد,Limite
appLClose,Close,Cerca,يغلق,Fermer
appLSaveDoctor,Save Doctor,Salvar al Doctor,احفظ الطبيب,Sauver le docteur
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
appLTotalPayable,Total Payable,Total a pagar,إجمالي المبلغ المستحق,Total à payer
appLAccept,Accept,Aceptar,يقبل,Accepter
appLHomeService,Home Service,Servicio a domicilio,الخدمة المنزلية,Service à domicile
appLWithdraw,Withdraw,Retirar,ينسحب,Retirer
appLWithdrawLogs,Withdraw Logs,Registros de retiro,سحب السجلات,Retirer les journaux
appLWithdrawMoney,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
appLAddInvestigation,Add Investigation,Agregar investigación,إضافة التحقيق,Ajouter une enquête
appLCancel,Cancel,Cancelar,يلغي,Annuler
appLHomeServiceRequest,Home Service Request,Solicitud de servicio a domicilio,طلب خدمة منزلية,Demande de service à domicile
appLSummary,Summary,Resumen,ملخص,Résumé
appLWillGet,Will Get,Lo conseguiré,سوف تحصل,Obtiendra
appLOptional,Optional,Opcional,خياري,Facultatif
appLUpdateProfile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,Mettre à jour le profil
appLHospitalInvestigation,Hospital Investigation,Investigación hospitalaria,تحقيق المستشفى,Enquête à l'hôpital
appLHospitalHealthPackage,Hospital Health Package,Paquete de salud hospitalaria,حزمة صحة المستشفى,Forfait santé hospitalier
appLAddDoctor,Add Doctor,Agregar Doctor,إضافة طبيب,Ajouter un médecin
appLBranch,Branch,Rama,فرع,Bifurquer
appLEditBranch,Edit Hospital Branch,Editar sucursal del hospital,تحرير فرع المستشفى,Modifier la succursale de l'hôpital
appLAddBranch,Add Branch,Agregar sucursal,إضافة فرع,Ajouter une branche
appLActive,Active,Activo,نشيط,Actif
appLFreeze,Freeze,Congelar,تجميد,Geler
appLRefresh,Refresh,Refrescar,ينعش,Rafraîchir
appLOfferPrice,Offer Price,Precio de oferta,سعر العرض,Prix ​​de l'offre
appLPackageDescription,Package Description,Descripción del paquete,وصف الحزمة,Description du package
appLPleaseFillOutTheField,Please Fill Out The Field,"Por favor, rellene el campo",الرجاء ملء الحقل,Veuillez remplir le champ
appLNoBranchFound,No Branch Found,No se encontró ninguna sucursal,لم يتم العثور على فرع,Aucune succursale trouvée
appLDoYouWantToAddABranch,Do you want to add a branch?,¿Quieres añadir una sucursal?,هل تريد إضافة فرع؟,Voulez-vous ajouter une branche ?
appLNoDepartmentFound,No Department Found,No se encontró ningún departamento,لم يتم العثور على قسم,Aucun département trouvé
appLDoYouWantToAddADepartment,Do you want to add a department? ,¿Quieres agregar un departamento?,هل تريد إضافة قسم؟,Voulez-vous ajouter un département ?
appLFrom,From,De,من,Depuis
appLSlotAvailable,slot(s) available,ranura(s) disponible(s),الفتحات المتاحة,créneau(x) disponible(s)
appLViewAll,View All,Ver todo,عرض الكل,Tout voir
appLLastName,Last Name,Apellido,اسم العائلة,Nom de famille
appLSearch,Search,Buscar,يبحث,Recherche
appLEditProfile,Edit Profile,Editar perfil,تعديل الملف الشخصي,Modifier le profil
apLmanageKyc2fa,"Manage Language preferences, Password reset here.","Administrar preferencias de idioma, restablecer contraseña aquí.",إدارة تفضيلات اللغة وإعادة تعيين كلمة المرور هنا.,"Gérer les préférences de langue, réinitialiser le mot de passe ici."
appLLocation,Location,Ubicación,موقع,Emplacement
appLView,View,Vista,منظر,Voir
appLGetStarted,Get Started,Empezar,البدء,Commencer
appLTwoFaSecurity,2Fa Security,Seguridad 2Fa,أمان المصادقة الثنائية,Sécurité 2Fa
appLNoBooking,No booking are currently available. Please make an appointment,"No hay reservas disponibles por el momento. Por favor, pida cita.",لا تتوفر حجوزات حاليًا. يُرجى حجز موعد.,Aucune réservation n'est actuellement disponible. Veuillez prendre rendez-vous.
appLNoDoctorFound,No doctors are currently available. Please check back later,No hay médicos disponibles en este momento. Vuelva más tarde.,لا يوجد أطباء متاحون حاليًا. يُرجى معاودة الاتصال لاحقًا.,Aucun médecin n'est actuellement disponible. Veuillez revenir ultérieurement.
appLCopy,Copy,Copiar,ينسخ,Copie
appLCopiedToClipboard,Copied to clipboard,Copiado al portapapeles,تم نسخها إلى الحافظة,Copié dans le presse-papiers
appLNoFileSelected,No file selected,No hay ningún archivo seleccionado,لم يتم تحديد أي ملف,Aucun fichier sélectionné
appLBackToHome,Back to home,De vuelta a casa,العودة إلى المنزل,Retour à la maison
appLCurrencies,Currencies,Monedas,العملات,Devises
appLGateways,Gateways,Puertas de enlace,بوابات,Passerelles
appLRecommendedDoctor,Recommended Doctor,Doctor recomendado,الطبيب الموصى به,Médecin recommandé
appLDoctorList,Doctor List,Lista de médicos,قائمة الأطباء,Liste des médecins
appLFindADoctor,Find doctor,Encuentra un médico,ابحث عن طبيب,Trouver un médecin
appLRegisterForAnAccount,Register for an account,Regístrese para obtener una cuenta,سجل للحصول على حساب,Créer un compte
appLUpcomingAppointment,Upcoming Appointment,Próxima cita,الموعد القادم,Rendez-vous à venir
appLBranches,Branches,Sucursales,الفروع,Succursales
appLSearchForInvestigation,Search for investigation,Búsqueda de investigación,البحث عن التحقيق,Recherche d'enquête
appLSelectHospital,Select Hospital,Seleccione Hospital,اختر المستشفى,Sélectionnez l'hôpital
appLMakeAppointment,Make Appointment,Hacer cita,حجز موعد,Prendre rendez-vous
appLMakeSchedule,Make Schedule,Hacer un horario,إنشاء جدول زمني,Établir un calendrier
appLAge,Age,Edad,عمر,Âge
appLYourMessage,Your Message,Tu mensaje,رسالتك,Votre message
appLSelectDate,Select Date,Seleccionar fecha,حدد التاريخ,Sélectionnez la date
appLProceedNow,Proceed Now,Proceder ahora,إمضي الآن,Procédez maintenant
appLServiceAtYour,SERVICE AT YOUR DOORSTEP,SERVICIO A TU PUERTA,الخدمة عند باب منزلك,SERVICE À VOTRE PORTE
appLServiceAtYourDetails,"No more waiting rooms, no more long commutes, and no more hassle. With our service, you can now book a doctor appointment and have a qualified healthcare professional visit you at your preferred location and time.P","Se acabaron las salas de espera, los largos desplazamientos y las molestias. Con nuestro servicio, ahora puede reservar una cita médica y que un profesional de la salud calificado lo visite en el lugar y horario que prefiera.",لا مزيد من غرف الانتظار، ولا مزيد من التنقلات الطويلة، ولا مزيد من المتاعب. مع خدمتنا، يمكنك الآن حجز موعد مع طبيب والحصول على موعد من أخصائي رعاية صحية مؤهل في المكان والوقت الذي تفضله.,"Fini les salles d'attente, les longs trajets et les tracas. Grâce à notre service, vous pouvez désormais prendre rendez-vous avec un médecin et bénéficier de la visite d'un professionnel de santé qualifié au lieu et à l'heure de votre choix."
appLWriteHere,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
appLSelectShift,Select Shift,Seleccionar Shift,حدد التحول,Sélectionnez Maj
appLAppointment,Appointment,Cita,ميعاد,Rendez-vous
appLJoinAsDoctor,Join As Doctor,Únase como médico,انضم كطبيب,Rejoignez-nous en tant que médecin
appLJoinAsDoctorDetails,"Join our network to connect with patients, manage appointments, and share your expertise.","Únase a nuestra red para conectarse con pacientes, administrar citas y compartir su experiencia.",انضم إلى شبكتنا للتواصل مع المرضى وإدارة المواعيد ومشاركة خبرتك.,"Rejoignez notre réseau pour communiquer avec les patients, gérer les rendez-vous et partager votre expertise."
appLInvestigationDetails,Explore various diagnostic tests and services offered with transparent pricing,Explore diversas pruebas de diagnóstico y servicios que se ofrecen con precios transparentes.,استكشف الاختبارات التشخيصية المتنوعة والخدمات المقدمة بأسعار شفافة,Découvrez divers tests et services de diagnostic proposés avec des prix transparents
appLDoctorBookingDetails,Quickly book appointments with trusted and verified doctors for personalized care.,Reserve rápidamente citas con médicos confiables y verificados para recibir atención personalizada.,احجز مواعيدك بسرعة مع أطباء موثوق بهم ومعتمدين للحصول على رعاية شخصية.,Prenez rapidement rendez-vous avec des médecins de confiance et vérifiés pour des soins personnalisés.
appLServiceBookingDetails,Conveniently schedule a wide range of medical services at your preferred time.,Programe cómodamente una amplia gama de servicios médicos en el horario que prefiera.,قم بجدولة مجموعة واسعة من الخدمات الطبية بسهولة في الوقت المفضل لديك.,Planifiez facilement une large gamme de services médicaux à l’heure de votre choix.
appLBookings,Bookings,Reservas,الحجوزات,Réservations
appLDoctorBooking,Doctor Booking,Reserva de médico,حجز الطبيب,Prise de rendez-vous chez le médecin
appLServiceBooking,Service Booking,Reserva de servicios,حجز الخدمة,Réservation de service
appLApproved,Approved,Aprobado,موافقة,Approuvé
appLTime,Time,Tiempo,وقت,Temps
appLPaymentBy,Payment,Pago,قسط,Paiement
appLBy,By,Por,بواسطة,Par
appLCharge,Charge,Cargar,تكلفة,Charge
appLTotal,Total,Total,المجموع,Total
appLSchedule,Schedule,Cronograma,جدول,Calendrier
appLRecentBooking,Recent Booking,Reservas recientes,الحجز الأخير,Réservation récente
appLOverviewDetails,Overview Details,Descripción general Detalles,نظرة عامة التفاصيل,Aperçu Détails
appLTotalTransactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
appLTotalOnlineTransactions,Total Online Transactions,Transacciones totales en línea,إجمالي المعاملات عبر الإنترنت,Total des transactions en ligne
appLTotalCashPayments,Total Cash Payments,Pagos totales en efectivo,إجمالي المدفوعات النقدية,Total des paiements en espèces
appLTotalTransactionsAmount,Total Transactions Amount,Monto total de las transacciones,إجمالي مبلغ المعاملات,Montant total des transactions
appLMale,Male,Masculino,ذكر,Mâle
appLFemale,Female,Femenino,أنثى,Femelle
appLOther,Other,Otro,آخر,Autre
appLYear,Year,Año,سنة,Année
appLMonth,Month,Mes,شهر,Mois
appLDays,Days,Días,أيام,Jours
appLPreview,Preview,Avance,معاينة,Aperçu
appLPatientName,Patient Name,Nombre del paciente,اسم المريض,Nom du patient
appLPatientAge,Patient Age,Edad del paciente,عمر المريض,Âge du patient
appLPatientGender,Patient Gender,Género del paciente,جنس المريض,Sexe du patient
appLServices,Services,Servicios,خدمات,Services
appLMobile,Mobile,Móvil,متحرك,Mobile
appLSelectTime,Select Time,Seleccionar hora,حدد الوقت,Sélectionnez l'heure
appLSpecialty,Specialty,Especialidad,التخصص,Spécialité
appLDoctorFees,Doctor Fees,Honorarios médicos,رسوم الطبيب,Honoraires du médecin
appLFeesCharges,Fees & Charges,Tarifas y cargos,الرسوم والتكاليف,Frais et charges
appLPayableAmount,Payable Amount,Monto a pagar,المبلغ المستحق,Montant à payer
appLCashPayment,Cash Payment,Pago al contado,الدفع نقدا,Paiement en espèces
appLOnlinePayment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
appLPressBackAgain,Press back again to exit,Presione atrás nuevamente para salir,اضغط على الرجوع مرة أخرى للخروج,Appuyez à nouveau sur Retour pour quitter
Front,Front,Frente,أمام,Devant
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
No Record Found!,No Record Found!,¡No se encontró ningún registro!,لم يتم العثور على أي سجل!,Aucun enregistrement trouvé !
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Doctor Name,Doctor Name,Nombre del doctor,اسم الطبيب,Nom du docteur
Payment Method,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
Enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول,Entrez le prénom
Enter Last Name,Enter Last Name,Ingrese Apellido,أدخل الاسم الأخير,Entrez le nom de famille
Select Country,Select Country,Seleccionar país,اختر البلد,Sélectionnez un pays
First Name,First Name,Nombre de pila,الاسم الأول,Prénom
last Name,last Name,apellido,اسم العائلة,nom de famille
zip_code,zip_code,código postal,الرمز البريدي,code postal
enter Zip Code,enter Zip Code,Ingrese el código postal,أدخل الرمز البريدي,entrer le code postal
